編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLTJPHNFFAT57CA,18,20.17,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPOOMLLMPHNFFAT86CA,,159.02,住家用,鋼筋混凝土造,107年2月26日,三層,一層 二層 三層
RPPNMLTJQHNFFBT57CA,1,195.92,見其他登記事項,見其他登記事項,107年2月26日,三層,見其他登記事項
RPSOMLRKPHNFFCT87CA,23,180.31,住家用,鋼筋混凝土造,84年3月30日,三層,一層 二層 三層
RPPNMLQLPHNFFCT47CA,,179.98,見其他登記事項,見其他登記事項,107年4月2日,三層,一層 二層 三層 見其他登記事項
RPPNMLLKPHNFFCT86CA,1,93.28,住家用,見其他登記事項,106年11月6日,四層,一層 二層 三層 四層
RPPNMLLKPHNFFCT86CA,1,93.28,住家用,見其他登記事項,106年11月6日,四層,一層 二層 三層 四層
RPQNMLTKPHNFFDT87CA,6,171.62,住宅,鋼筋混凝土構造,101年3月22日,三層,一層 二層 三層
RPWNMLQJQHNFFCT08CA,2,361.47,住家用,見其他登記事項,105年1月30日,四層,一層 二層 三層 四層
RPQNMLNKPHNFFBT17DA,24,160.02,住家用,鋼筋混凝土造,83年7月25日,三層,一層 二層 三層
RPPNMLMKPHNFFDT07CA,14,212.84,住宅,鋼筋混凝土造,93年11月11日,四層,一層 二層 三層 四層
RPQNMLTJPHNFFDT77CA,1,175.53,住宅,鋼筋混凝土構造,106年6月13日,三層,一層 二層 三層
RPSNMLKLPHNFFDT27CA,1,244.68,見其他登記事項,見其他登記事項,105年12月21日,二層,一層 二層 屋頂突出物
RPQNMLLKPHNFFDT07CA,25,165.56,住宅,鋼筋混凝土造,82年7月1日,三層,一層 二層 三層
RPRNMLKKPHNFFDT07CA,1,247.53,住宅,鋼筋混凝土構造,106年11月13日,四層,一層 二層 三層 四層
RPTNMLKLPHNFFDT37CA,1,244.63,見其他登記事項,見其他登記事項,105年12月21日,二層,一層 二層 屋頂突出物
RPPNMLTKPHNFFDT77CA,22,190.22,住宅,鋼筋混凝土造,85年2月7日,三層,一層 二層 三層
RPPNMLKKPHNFFDT86CA,21,176.14,住宅,鋼筋混凝土造,86年6月24日,四層,一層 二層 三層 四層
RPWNMLTJPHNFFCT28CA,24,110.12,住家用,鋼筋混凝土造,83年8月12日,七層,四層
RPWNMLTJPHNFFCT28CA,24,58.32,見其他登記事項,鋼筋混凝土造,83年8月12日,七層,
RPQNMLLKPHNFFCT96CA,23,136.64,住家用,鋼筋混凝土造,83年12月30日,四層,一層 二層 三層 四層
RPPNMLKKPHNFFCT76CA,27,15.42,住家用,加強磚造,80年8月1日,二層,一層 二層
RPRNMLMKPHNFFCT17CA,25,143.73,住宅,鋼筋混凝土造,82年3月8日,三層,一層 二層 三層
RPQNMLLKPHNFFAT76CA,18,122.28,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十二層
RPQNMLLKPHNFFAT76CA,18,59.54,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPVOMLMKPHNFFAT47CA,23,247.29,店舖、住宅,鋼筋混凝土造,84年6月28日,十三層,一層 二層 三層 四層 五層
RPRNMLOLPHNFFCT47CA,24,84.24,住家用,鋼筋混凝土造,83年4月13日,七層,三層
RPRNMLOLPHNFFCT47CA,24,23.86,見其他登記事項,鋼筋混凝土造,83年4月13日,七層,
RPWNMLNKPHNFFAT57CA,17,125.25,見其他登記事項,鋼筋混凝土造,89年12月30日,四層,一層 二層 三層 四層 地下一層
RPWNMLNKPHNFFAT57CA,17,47.53,停車空間,鋼筋混凝土造,89年12月30日,四層,
RPSOMLNLPHNFFAT37CA,,100.42,住宅,鋼筋混凝土造,107年5月21日,三層,一層 二層 三層
RPSOMLNLPHNFFAT37CA,,100.42,住宅,鋼筋混凝土造,107年5月21日,三層,一層 二層 三層
RPSNMLMKPHNFFAT07CA,38,98.28,住宅,鋼筋混凝土造,69年10月24日,三層,一層 二層 三層
RPWOMLSKPHNFFAT18CA,8,200.88,見其他登記事項,鋼筋混凝土造,99年10月8日,三層,一層 二層 三層
RPQOMLNLPHNFFAT17CA,,100.98,住宅,鋼筋混凝土造,107年5月21日,三層,一層 二層 三層
RPQOMLNLPHNFFAT17CA,,100.98,住宅,鋼筋混凝土造,107年5月21日,三層,一層 二層 三層
RPRNMLNKPHNFFAT07CA,,106.63,見其他登記事項,鋼筋混凝土造,107年4月10日,五層,四層
RPRNMLNKPHNFFAT07CA,,57.37,見其他登記事項,鋼筋混凝土造,107年4月10日,五層,
RPUNMLMKPHNFFAT27CA,7,268.39,住宅,鋼筋混凝土造,100年12月5日,三層,一層 二層 三層
RPRPMLSKPHNFFAT77CA,26,175.90,住商用,鋼筋混凝土造,81年10月30日,四層,一層 二層 三層 四層 騎樓
RPUNMLTKPHNFFAT97CA,33,107.92,住宅,加強磚造,74年10月21日,二層,一層 二層
RPUOMLKKPHNFFAT17CA,5,216.34,住家用,鋼筋混凝土造,102年7月23日,三層,一層 二層 三層 屋頂突出物
RPSOMLLKPHNFFAT07CA,39,96.00,住家用,加強磚造,68年2月28日,二層,一層 二層
RPTNMLTKPHNFFAT87CA,23,53.98,住宅,鋼筋混凝土造,84年10月6日,十二層,四層
RPTNMLTKPHNFFAT87CA,23,20.44,見其他登記事項,鋼筋混凝土造,84年10月6日,十二層,
RPQOMLKKPHNFFAT76CA,25,93.12,住家用,鋼筋混凝土造,82年3月18日,六層,三層
RPQOMLKKPHNFFAT76CA,25,32.70,見其他登記事項,鋼筋混凝土造,82年3月18日,六層,
RPPNMLQKPHNFFAT17CA,1,344.04,見其他登記事項,鋼筋混凝土造,106年6月20日,七層,一層 二層 騎樓
RPPNMLQKPHNFFAT17CA,1,246.24,見其他登記事項,鋼筋混凝土造,106年6月20日,七層,
RPQNMLLKPHNFFBT86CA,32,105.45,住家用,加強磚造,75年2月17日,二層,一層 二層 騎樓
RPQNMLNKPHNFFAT96CA,19,47.14,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十層
RPQNMLNKPHNFFAT96CA,19,14.40,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPOOMLQLPHNFFCT47CA,,71.02,住宅,磚造,,一層,一層 騎樓
RPOOMLKLPHNFFCT86CA,21,95.53,住家用,鋼筋混凝土造,86年5月30日,十層,八層
RPOOMLKLPHNFFCT86CA,21,30.35,見其他登記事項,鋼筋混凝土造,86年5月30日,十層,
RPPNMLLKPHNFFET07CA,42,96.52,店舖、住宅,鋼筋混凝土加強磚造,65年3月30日,二層,一層 二層 騎樓
RPUNMLQJQHNFFCT87CA,23,10.08,見其他登記事項,鋼筋混凝土造,84年5月5日,六層,
RPUNMLQJQHNFFCT87CA,23,23.25,住家用,鋼筋混凝土造,84年5月5日,六層,四層
RPVNMLOLPHNFFCT87CA,1,197.19,見其他登記事項,見其他登記事項,106年7月18日,三層,一層 二層 三層 騎樓 見其他登記事項
RPPNMLQLPHNFFET67CA,36,69.12,住宅,加強磚造,70年12月10日,二層,一層 二層
RPPNMLPKPHNFFFT57CA,51,96.60,住家用,加強磚造,57年1月1日,一層,一層
RPRNMLLKPHNFFAT96DA,40,121.80,住商用,加強磚造,67年7月10日,二層,一層 二層 騎樓
