鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
東港鎮,房地(土地+建物),屏東縣東港鎮沿海路271~300號,25.52,住,,,1070416,土地1建物1車位0,一層，二層，三層，騎樓,十二層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0830310,159.12,3,2,2,有,有,4600000,28909,,0.0,0,,RPSNMLLKPHNFFDT27CA
春日鄉,土地,春日段1531~1560地號,550.0,,山坡地保育區,農牧用地,1070607,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,364,,0.0,0,,RPQNMLOJPHNFFFT47CA
恆春鎮,房地(土地+建物),屏東縣恆春鎮省北路40巷91~120號,139.48,住,,,1070501,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1060614,270.14,6,2,5,有,無,15500000,57378,,0.0,0,,RPQNMLOLPHNFFET57CA
佳冬鄉,土地,六根段151~180地號,52.15,商,,,1070514,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,359000,6884,,0.0,0,,RPPNMLSKPHNFFFT08EA
屏東巿,土地,信和段181~210地號,67.39,,一般農業區,農牧用地,1070529,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,141000,2092,,0.0,0,,RPXNMLOJPHNFFAT77DA
車城鄉,土地,興統段481~510地號,1574.59,,一般農業區,農牧用地,1070202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,236000,150,,0.0,0,,RPPNMLLMPHNFFET27CA
車城鄉,土地,興統段451~480地號,4433.14,,一般農業區,農牧用地,1070202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,612000,138,,0.0,0,,RPQNMLLMPHNFFET37CA
車城鄉,土地,保力段山腳小段61~90地號,4183.0,,一般農業區,農牧用地,1070302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,520800,125,,0.0,0,,RPRNMLLMPHNFFET47CA
車城鄉,土地,保力段山腳小段61~90地號,94.0,,一般農業區,農牧用地,1070202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11265,120,,0.0,0,,RPSNMLLMPHNFFET57CA
車城鄉,土地,保力段保力小段241~270地號,431.0,,鄉村區,乙種建築用地,1070322,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,426000,988,,0.0,0,,RPTNMLLMPHNFFET67CA
東港鎮,房地(土地+建物),屏東縣東港鎮興中東一街31~60號,76.72,住,,,1070506,土地1建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土構造,1031222,167.25,4,2,3,有,無,9880000,59073,,0.0,0,,RPQNMLPJPHNFFDT37CA
東港鎮,土地,東新段1231~1260地號,139.2,住,,,1070420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4842360,34787,,0.0,0,,RPQNMLQJPHNFFDT47CA
東港鎮,土地,東新段1231~1260地號,416.84,住,,,1070420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14500640,34787,,0.0,0,,RPRNMLQJPHNFFDT57CA
新園鄉,土地,新利段1291~1320地號,2643.0,,特定農業區,農牧用地,1070519,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7200000,2724,,0.0,0,,RPXOMLOJPHNFFDT08CA
新園鄉,土地,五龍段721~750地號,1578.96,,一般農業區,農牧用地,1051212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2441861,1546,,0.0,0,,RPSNMLQLPHNFFDT87CA
南州鄉,土地,壽元段181~210地號,1500.0,,一般農業區,農牧用地,1070302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,7333,,0.0,0,,RPQNMLRLPHNFFDT77CA
恆春鎮,房地(土地+建物),屏東縣恆春鎮?公路208巷15弄1~30號,108.83,住,,,1070530,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1050520,192.3,6,1,6,有,無,8200000,42642,,0.0,0,,RPPNMLPJPHNFFET37CA
東港鎮,房地(土地+建物),屏東縣東港鎮沿海五路61~90號,89.73,住,,,1070523,土地1建物1車位0,全,四層,透天厝,店舖、住宅,鋼筋混凝土構造,1060908,204.37,3,2,3,有,無,11800000,57738,,0.0,0,,RPOOMLOJPHNFFDT17CA
琉球鄉,土地,本漁段91~120地號,54.93,住,,,1070606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,830000,15110,,0.0,0,,RPTOMLOJPHNFFDT67CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮永華街61~90號,62.99,住,,,1070610,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0650403,141.6,6,1,2,有,無,3600000,25424,,0.0,0,,RPQNMLOLPHNFFCT37CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉自強路39巷1~30號,87.35,住,,,1070528,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0690823,96.48,4,2,3,有,無,4800000,49751,,0.0,0,,RPTOMLSKPHNFFCT08CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮北門路151~180號,88.78,住,,,1070616,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1000315,180.78,3,2,4,有,無,8350000,46189,,0.0,0,,RPTNMLSKPHNFFCT97CA
內埔鄉,土地,文化段391~420地號,3885.38,,一般農業區,農牧用地,1070307,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13400000,3449,,0.0,0,,RPUNMLKKPHNFFCT27CA
里港鄉,房地(土地+建物),屏東縣里港鄉文化路61~90號,147.0,住,,,1070522,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1060925,229.14,5,2,4,有,無,9050000,39496,,0.0,0,,RPPNMLOJPHNFFBT96CA
