編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLKMPHNFFBC08DA,19,38.72,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPPNMLPKPHNFFCC18CA,23,68.96,住家用,鋼筋混凝土造,84年5月17日,六層,二層
RPPNMLPKPHNFFCC18CA,23,12.09,共用部份,鋼筋混凝土造,84年5月17日,六層,
RPPNMLPKPHNFFCC18CA,23,12.82,共用部份,鋼筋混凝土造,84年5月17日,六層,
RPSNMLNJPHNFFCC18CA,6,111.52,見其他登記事項,鋼筋混凝土造,101年1月20日,六層,五層
RPSNMLNJPHNFFCC18CA,6,17.20,見其他登記事項,鋼筋混凝土造,101年1月20日,六層,
RPSNMLNJPHNFFCC18CA,6,24.26,見其他登記事項,鋼筋混凝土造,101年1月20日,六層,
RPSNMLNJPHNFFCC18CA,6,80.37,見其他登記事項,鋼筋混凝土造,101年1月20日,六層,
RPQOMLMJPHNFFCC97CA,23,2.91,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,
RPQOMLMJPHNFFCC97CA,23,83.38,住家用,鋼筋混凝土造,84年1月17日,五層,三層
RPQOMLMJPHNFFCC97CA,23,14.66,共用部份,鋼筋混凝土造,84年1月17日,五層,
RPRNMLOKPHNFFBC18CA,34,122.05,住家用,鋼筋混凝土造,73年11月14日,三層,一層
RPQNMLPKPHNFFCC28CA,23,90.83,住家用,鋼筋混凝土造,84年10月2日,七層,四層
RPQNMLPKPHNFFCC28CA,23,2.90,共用部份,鋼筋混凝土造,84年10月2日,七層,
RPQNMLPKPHNFFCC28CA,23,3.96,共用部份,鋼筋混凝土造,84年10月2日,七層,
RPQNMLPKPHNFFCC28CA,23,7.80,共用部份,鋼筋混凝土造,84年10月2日,七層,
RPTNMLQKPHNFFCC68CA,24,88.54,住家用,鋼筋混凝土造,83年11月8日,五層,五層
RPTNMLQKPHNFFCC68CA,24,7.73,共用部份,鋼筋混凝土造,83年11月8日,五層,
RPTNMLQKPHNFFCC68CA,24,17.37,共用部份,鋼筋混凝土造,83年11月8日,五層,
RPRNMLPKPHNFFCC38CA,21,38.43,住家用,鋼筋混凝土造,85年12月9日,七層,七層
RPRNMLPKPHNFFCC38CA,21,5.57,共用部份,鋼筋混凝土造,85年12月9日,七層,
