鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
頭份巿,土地,自強段1201~1230地號,97.46,其他,,,1061129,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,3078,,0.0,0,,RPTNMLOJPHNFFFK86CA
頭份巿,房地(土地+建物),苗栗縣頭份鎮蟠桃里14鄰信三街12巷1~30號,14.1,住,,,1070526,土地2建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860129,82.94,3,2,2,有,無,3300000,39788,,0.0,0,,RPVNMLOJPHNFFFK07CA
頭份巿,土地,蘆竹湳段蘆竹湳小段631~660地號,3500.0,工,,,1070528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,82053125,23444,,0.0,0,,RPPOMLRLPHNFFFK07CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮中英里13鄰復興路139巷21弄1~30號,48.46,住,,,1070620,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060725,147.44,3,2,2,有,有,6400000,43407,,0.0,0,,RPTNMLQLPHNFFDK17DA
三義鄉,土地,五穀段991~1020地號,7.0,住,,,1070529,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,175630,25090,,0.0,0,國有土地移轉,RPRNMLPJPHNFFEK76DA
三義鄉,土地,五穀段991~1020地號,5.0,住,,,1070529,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,122700,24540,,0.0,0,國有土地移轉，權利人共7人。,RPSNMLPJPHNFFEK86DA
三義鄉,土地,三叉段121~150地號,137.0,,山坡地保育區,丙種建築用地,1070608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4150000,30292,,0.0,0,含建物無保存登記部分,RPPNMLQJPHNFFEK66DA
頭份巿,房地(土地+建物),苗栗縣頭份鎮信義路合泰巷1~30號,93.35,住,,,1070615,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690701,108.64,2,1,2,有,無,4980000,45839,,0.0,0,,RPUNMLPJPHNFFFK17DA
造橋鄉,房地(土地+建物),苗栗縣造橋鄉育英八街91~120號,34.72,,山坡地保育區,丙種建築用地,1070621,土地1建物2車位0,二層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0910417,53.77,1,1,1,有,無,936000,17407,,0.0,0,交易價含增值稅契稅代書費等,RPRNMLQJPHNFFDK76DA
頭份巿,房地(土地+建物),苗栗縣頭份鎮濫坑里18鄰尖豐路741巷2弄1~30號,106.77,,山坡地保育區,丙種建築用地,1070608,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0851029,197.61,4,2,4,有,無,1800000,9109,,0.0,0,,RPSNMLKKPHNFFFK09CA
頭份巿,房地(土地+建物),苗栗縣頭份鎮後庄里13鄰信中路31~60號,107.9,住,,,1070509,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0931002,241.57,3,3,4,有,無,12700000,52573,,0.0,0,,RPSOMLKKPHNFFFK56CA
三灣鄉,土地,下林坪段31~60地號,3879.0,,山坡地保育區,林業用地,1070519,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2754090,710,,0.0,0,,RPUNMLNKPHNFFFK96CA
頭份巿,房地(土地+建物),苗栗縣頭份鎮下興里14鄰新興街91~120號,120.28,,山坡地保育區,丙種建築用地,1070531,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0841130,171.16,3,3,2,有,無,4800000,28044,,0.0,0,,RPQOMLOJPHNFFFK66CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份鎮民權里1鄰中華路8821~8850號,30.21,住,,,1070607,土地2建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050707,173.19,3,2,2,有,有,7350000,42439,坡道平面,0.0,0,,RPPPMLPJPHNFFFK76CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份鎮興隆里5鄰花園東路181~210號,43.09,,山坡地保育區,丙種建築用地,1070530,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051222,125.21000000000001,3,2,1,有,有,4000000,31946,坡道平面,0.0,0,,RPOOMLQJPHNFFFK66CA
三灣鄉,土地,崁頂寮段361~390地號,1760.0,,山坡地保育區,農牧用地,1070526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,1989,,0.0,0,買賣標的非素地，經整體規劃設置排水設施，並種植花、草、樹木等。,RPQOMLQJPHNFFFK86CA
三灣鄉,土地,崁頂寮段361~390地號,1768.0,,山坡地保育區,農牧用地,1070526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,1414,,0.0,0,買賣標的非素地，經整體規劃設置排水設施，並種植花、草、樹木等。,RPROMLQJPHNFFFK96CA
南庄鄉,土地,四灣段61~90地號,1350.0,,山坡地保育區,農牧用地,1070516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,2444,,0.0,0,買賣標的非素地，經整體規劃設置排水設施，並種植花、草、樹木等。,RPSOMLQJPHNFFFK07CA
頭份巿,房地(土地+建物),苗栗縣頭份鎮成功里14鄰永安街421~450號,92.12,住,,,1070511,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0780518,148.54,3,2,2,有,有,7000000,47125,,0.0,0,,RPTOMLNJPHNFFFK86CA
三義鄉,土地,魚藤坪段301~330地號,2615.0,,山坡地保育區,林業用地,1070611,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2260000,864,,0.0,0,,RPPNMLOJPHNFFEK98CA
銅鑼鄉,土地,新雞隆段1891~1920地號,182.0,,山坡地保育區,農牧用地,1070520,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50000,275,,0.0,0,,RPQNMLOJPHNFFEK09CA
苑裡鎮,土地,新復東段1~30地號,289.66,,特定農業區,農牧用地,1070523,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,7940,,0.0,0,,RPPNMLQKPHNFFCK09CA
竹南鎮,土地,龍山段181~210地號,4.31,住,,,1070623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,138427,32118,,0.0,0,土地為買方建物佔用,RPSNMLTJPHNFFDK07CA
