鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
嘉義市,房地(土地+建物),嘉義市嘉義市民樂街91~120號,21.17,住,,,1070621,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830418,98.28,3,2,2,有,無,2500000,25438,,0.0,0,,RPTNMLQLPHNFFAI66DA
嘉義市,房地(土地+建物),嘉義市嘉義市宣信街241~270號,37.44,住,,,1070614,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720920,128.19,3,2,2,有,有,1980000,15446,,0.0,0,,RPXNMLLKPHNFFAI56EA
嘉義市,房地(土地+建物),嘉義市嘉義市文中街7巷1~30號,77.0,住,,,1070612,土地3建物1車位0,全,一層,透天厝,住家用,竹造,0570315,31.82,3,2,0,有,無,2600000,81710,,0.0,0,,RPPNMLTJPHNFFAI09EA
嘉義市,房地(土地+建物),嘉義市嘉義市民權路61~90號,24.4,住,,,1070605,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691030,60.84,2,1,1,有,無,1500000,24655,,0.0,0,,RPRNMLKKPHNFFAI48EA
嘉義市,房地(土地+建物),嘉義市嘉義市林森東路684巷31~60號,86.0,住,,,1070619,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0640217,48.26,2,2,1,有,無,3000000,62163,,0.0,0,,RPQOMLLJQHNFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市國聖四街31~60號,20.45,住,,,1070604,土地1建物1車位0,八層，九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860709,119.88,3,2,2,有,有,3300000,27528,,0.0,0,,RPUOMLLJQHNFFAI78CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市世賢路一段631~660號,12.72,住,,,1070603,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830718,129.6,3,2,2,有,有,4450000,34336,坡道機械,0.0,0,,RPVOMLLJQHNFFAI88CA
嘉義市,土地,北園段511~540地號,1493.0,農,,,1070629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4510000,3021,,0.0,0,,RPPOMLLLPHNFFAI38CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市自由路481~510號,10.75,住,,,1070609,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830530,127.44,3,2,2,有,有,3350000,26287,坡道平面,0.0,0,,RPQOMLSLPHNFFAI56CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠義街61~90號,21.95,商,,,1070613,土地1建物2車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820217,143.89999999999998,3,2,2,有,有,3800000,26407,坡道平面,0.0,0,,RPXNMLKKPHNFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市德明路30巷1~30號,76.0,住,,,1070602,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0580812,74.0,3,2,2,有,無,3100000,41892,,0.0,0,,RPRNMLNKPHNFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市建成街181~210號,9.14,住,,,1070616,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0791023,41.5,1,1,1,有,有,1060000,25542,,0.0,0,,RPSNMLNKPHNFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市遼寧一街121~150號,75.0,住,,,1070615,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660212,113.22,3,2,2,有,無,4200000,37096,,0.0,0,,RPPNMLQKPHNFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市康樂街91~120號,21.86,住,,,1070519,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820702,105.93,2,1,1,有,無,3000000,28321,,0.0,0,,RPXNMLTKPHNFFAI17CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市八德路181~210號,30.17,住,,,1070619,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830414,149.44,3,2,2,有,有,3700000,24759,坡道機械,0.0,0,,RPSNMLMKPHNFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市玉山路158巷91~120號,5.78,住,,,1070618,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840711,39.41,2,1,1,有,有,1100000,27912,,0.0,0,,RPOPMLMKPHNFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市遠東街175巷1~30號,54.0,商,,,1070607,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0801210,82.51,2,1,2,有,無,4200000,50903,,0.0,0,,RPPNMLNKPHNFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市溪興街1~30號,111.48,住,,,1070601,土地5建物2車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1020605,203.41,6,2,6,有,無,19000000,93407,,0.0,0,,RPUNMLQJQHNFFAI76EA
嘉義市,房地(土地+建物),嘉義市嘉義市青年街61~90號,134.95,住,,,1070613,土地5建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1060928,422.01,5,2,6,有,無,23980000,56823,,0.0,0,,RPVNMLLKPHNFFAI78CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路781~810號,18.7,住,,,1070519,土地1建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050510,150.75,3,2,2,有,有,6300000,42578,坡道機械,28.62,1100000,,RPSNMLRKPHNFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義市永吉四街31~60號,9.57,住,,,1070531,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840712,43.17,1,1,1,有,有,600000,13899,,0.0,0,,RPQPMLRKPHNFFAI56DA
嘉義市,房地(土地+建物),嘉義市嘉義市宣信街241~270號,38.29,住,,,1070527,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720920,127.62,3,2,2,有,有,3800000,29776,,0.0,0,,RPPOMLLJQHNFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市文雅街181~210號,62.0,住,,,1070518,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0671223,86.02,3,2,1,有,無,1850000,21507,,0.0,0,,RPQNMLKLPHNFFAI48EA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市志昇街91~120號,29.62,住,,,1070620,土地4建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931103,187.89,3,1,2,有,無,5700000,30337,坡道機械,0.0,0,,RPSNMLNLPHNFFAI98EA
