鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
西區,房地(土地+建物),臺中市西區五權西六街151~180號,19.4,住,,,1070501,土地8建物1車位0,一層，二層，騎樓,九層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0831108,130.29,0,0,0,無,有,7200000,55261,,0.0,0,,RPSNMLNKPHNFFAB97CA
西區,房地(土地+建物),臺中市西區民權路181~210號,7.12,商,,,1070601,土地3建物2車位0,十層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720819,89.58,2,2,2,有,有,3000000,33490,,0.0,0,,RPOPMLTJPHNFFAB28CA
南區,房地(土地+建物),臺中市南區學府路146巷1~30號,3.45,住,,,1070501,土地4建物1車位0,十層,二十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850627,37.21,1,0,1,有,有,1700000,45687,,0.0,0,,RPQPMLTJPHNFFAB48CA
中區,房地(土地+建物),臺中市中區中華路一段91~120號,3.1,商,,,1070501,土地2建物1車位0,九層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0820917,27.87,1,0,1,有,無,1210000,43416,,0.0,0,,RPROMLNJPHNFFAB87CA
南區,房地(土地+建物),臺中市南區工學北路61~90號,5.18,商,,,1070501,土地1建物1車位0,十五層，十六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850506,89.55,2,2,1,有,有,3200000,35734,,0.0,0,,RPRNMLPJPHNFFAB97CA
西區,房地(土地+建物),臺中市西區自治街151~180號,13.91,其他,,,1070601,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700711,105.22,3,1,2,有,有,5000000,47519,,0.0,0,,RPSOMLOJPHNFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區大慶街二段6之16巷31~60號,12.17,商,,,1070601,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840525,115.3,3,2,1,有,有,4820000,41804,坡道機械,0.0,0,,RPPNMLQJPHNFFAB87CA
南區,房地(土地+建物),臺中市南區南平路241~270號,82.0,商,,,1070601,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040626,326.33,4,3,7,有,無,31000000,94996,,0.0,0,,RPUOMLTJPHNFFAB78CA
南區,房地(土地+建物),臺中市南區建成路1561~1590號,7.64,住,,,1070601,土地1建物3車位0,四層,十二層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0840718,85.85,3,3,3,有,有,3500000,40769,,0.0,0,,RPQNMLOKPHNFFAB87CA
西區,房地(土地+建物),臺中市西區公益路91~120號,3.74,住,,,1070601,土地2建物1車位0,六層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830714,35.55,1,1,1,有,有,1800000,50633,,0.0,0,,RPQRMLKKPHNFFAB87CA
